No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1,A,Agilent Technologies Inc.,Technology,Scientific & Technical Instruments,USA,14178,13.08,10.97,0.98,2.09,3,3.64,13.09,0.98%,3.17%,3.12,47.12%,14.81%,-2.64%,13.35%,5.87%,27.86%,3.34%,347.5,346.71,0.28%,2.10%,82.62%,-0.31%,1.50%,1.78,12.22%,25.45%,15.10%,3.28,2.76,0.41,0.46,53.12%,17.17%,16.27%,8.08%,9.71%,2.95%,-9.07%,28.75%,17.38%,1.49,1.02,2.11%,2.42%,6.51%,5.24%,1.88%,-2.35%,14.75%,-12.00%,42.05%,63.26,0.25%,-0.91%,1.5,2909.53,0.67,40.53,-0.66%,1955617,8/15/12 16:30
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,9452.65,147.67,11.97,12.74,0.39,0.69,5.52,22.09,1.35%,185.71%,0.06,112.94%,155.17%,-26.24%,11.59%,-2.93%,-100.65%,-9.45%,1066.89,1066.12,0.01%,-4.17%,58.69%,0.32%,8.60%,4.18,0.35%,0.48%,0.45%,1.26,0.77,0.63,0.7,14.80%,0.71%,0.57%,8.31%,6.49%,-2.32%,-16.18%,-22.62%,3.38%,2.06,0.21,2.24%,2.22%,7.49%,5.99%,-4.52%,-0.55%,13.10%,-29.67%,13.10%,66.28,2.39%,-1.02%,2.6,21931.44,0.83,8.98,1.35%,18183980,7/9/12 16:30
3,AAPL,Apple Inc.,Technology,Personal Computers,USA,581878.49,14.59,11.82,0.69,3.91,5.21,21.04,13.96,,6.19%,42.54,82.63%,18.95%,64.95%,21.05%,41.16%,19.57%,22.58%,937.41,936.89,0.03%,21.62%,68.28%,-0.26%,1.36%,0.86,29.77%,44.32%,38.27%,1.57,1.54,0,0,44.11%,35.62%,26.97%,2.13%,2.70%,8.80%,25.87%,70.68%,53.27%,1.22,10.76,1.09%,1.60%,2.73%,5.09%,20.58%,-0.53%,13.35%,-3.46%,75.50%,62.86,0.48%,-0.33%,1.8,14826.17,0.47,621.7,0.16%,6952958,7/24/12
4,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,9787.02,15.48,12.28,,0.12,3.33,5.91,11.92,1.34%,,2.5,14.78%,11.31%,19.43%,,5.70%,7.25%,-1.94%,252.96,251.15,0.15%,2.71%,94.16%,0.12%,1.92%,1.96,4.62%,23.04%,14.65%,1.02,0.52,0.51,0.64,3.17%,1.50%,0.88%,-0.46%,-1.53%,6.15%,-0.03%,11.27%,4.77%,0.71,0.74,1.43%,1.85%,-0.89%,0.87%,2.28%,-4.14%,7.41%,-7.61%,12.52%,50.3,0.08%,-0.08%,1.8,2457.48,0.71,38.69,0.00%,1733247,7/26/12 8:30
5,ABT,Abbott Laboratories,Healthcare,Drug Manufacturers - Major,USA,103403.19,21.27,12.24,2.56,2.62,4.06,,,3.10%,,3.09,1.47%,6.34%,21.98%,8.31%,11.57%,-11.72%,1.98%,1573.39,1570.95,0.25%,9.46%,67.01%,0.18%,1.32%,3.09,,,,,,,,61.65%,16.11%,12.39%,-0.93%,0.83%,6.45%,20.88%,45.01%,19.82%,0.3,0.78,0.87%,1.20%,0.63%,3.78%,13.68%,-1.99%,12.06%,-1.99%,46.71%,60.33,0.64%,-0.05%,2.6,6720.22,0.45,66.11,0.59%,3038320,7/18/12 8:30
6,ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,24794.26,12.39,9.41,1.46,1.47,0.96,8.66,11.09,2.68%,29.85%,5.9,-48.93%,-0.38%,-7.57%,8.47%,4.78%,-44.94%,-7.69%,339.09,338.04,0.31%,-4.94%,90.40%,-3.33%,0.43%,0.89,2.25%,8.10%,,,,0.13,0.2,,15.61%,11.96%,0.77%,4.76%,-3.08%,0.72%,26.42%,6.37%,0.74,1.21,1.03%,1.55%,0.77%,1.23%,2.29%,-2.32%,6.17%,-5.41%,30.42%,52.95,0.17%,-0.68%,2,1632.42,0.69,72.74,-0.52%,1130952,7/24/12 16:30
7,ACN,Accenture plc,Technology,Information Technology Services,Ireland,42639.38,15.9,14.94,1.52,1.44,10.28,7.57,16.49,2.19%,35.43%,3.87,27.67%,7.29%,16.43%,10.43%,8.46%,11.21%,6.06%,692.76,645.93,0.28%,-17.81%,83.40%,-2.97%,1.53%,2.74,18.87%,66.17%,39.53%,1.51,,0,0,30.19%,12.99%,9.68%,4.27%,7.74%,4.86%,8.36%,21.57%,16.88%,0.85,1.15,1.58%,1.62%,3.65%,5.31%,5.51%,-0.48%,12.18%,-6.11%,32.99%,63.08,0.69%,-0.55%,2.1,3595.23,0.43,61.63,0.13%,1563562,6/28/12 16:30
8,ADBE,Adobe Systems Inc.,Technology,Application Software,USA,16055.96,20.93,12.32,2.03,3.7,2.65,5.36,12.05,,0.00%,1.56,12.18%,9.50%,14.87%,10.30%,10.36%,-1.47%,9.90%,491.76,489.63,0.24%,-16.90%,92.48%,0.71%,2.94%,3.65,8.79%,13.54%,10.10%,3.03,,0.25,0.25,89.38%,25.71%,17.94%,6.77%,8.11%,2.29%,0.00%,43.20%,15.49%,1.56,0.71,1.67%,2.19%,4.43%,4.12%,5.11%,-1.66%,10.57%,-6.15%,43.98%,60.32,0.21%,-0.25%,2.5,3942.13,0.75,32.64,-0.03%,2972044,9/19/12 16:30
9,ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,12041,17.55,15.35,1.64,4.3,3.07,3.21,24.3,2.97%,44.39%,2.3,20.11%,21.76%,14.82%,10.73%,5.87%,-31.82%,-14.63%,298.34,293.31,0.57%,1.19%,84.96%,-0.13%,2.17%,2.64,13.35%,18.80%,14.97%,8.1,7.55,0.22,0.22,65.07%,32.55%,25.23%,3.28%,10.76%,9.58%,2.28%,35.76%,14.63%,1.09,0.75,1.26%,1.95%,5.21%,7.85%,8.99%,-0.17%,14.92%,-0.17%,40.24%,69.17,0.47%,-0.30%,2.1,2407.2,0.84,40.43,0.17%,2018201,8/21/12
10,ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,17431.29,14.46,9.26,1.45,0.2,0.96,,17.66,2.64%,,1.83,-41.39%,10.42%,-11.04%,10.00%,15.13%,-26.48%,-0.85%,658.53,644.17,0.16%,0.96%,73.96%,1.06%,1.14%,1.39,,,,,,,,4.12%,1.98%,1.39%,5.33%,-4.30%,-20.56%,-12.96%,3.44%,-6.43%,0.44,0.55,1.61%,1.82%,-2.60%,-9.38%,-12.83%,-20.67%,3.68%,-23.25%,11.35%,37.14,-1.67%,-0.34%,2.8,5308.62,1.07,25.94,-2.00%,5692223,7/31/12 8:30
