No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1,A,Agilent Technologies Inc.,Technology,Scientific & Technical Instruments,USA,12902.68,12.85,10.76,1.05,1.89,2.66,6.71,12.45,1.83%,6.85%,2.89,47.12%,12.01%,-2.64%,12.25%,5.87%,-25.53%,1.89%,347.5,345.21,0.28%,2.10%,83.36%,0.50%,1.24%,1.47,10.99%,22.45%,13.65%,2.01,1.52,0.35,0.45,52.84%,16.92%,14.91%,-8.30%,1.20%,-8.05%,-12.66%,22.34%,6.82%,1.48,1.04,2.20%,2.29%,-3.77%,-3.56%,-6.82%,-10.18%,5.12%,-19.38%,30.14%,40.86,0.62%,0.60%,1.5,2909.15,1.84,37.13,1.23%,5356661,8/15/12 16:30
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,9409.97,147,11.92,12.68,0.39,0.69,5.5,21.99,1.36%,185.71%,0.06,112.94%,155.20%,-26.24%,11.59%,-2.93%,-100.65%,-9.45%,1066.89,1066.13,0.01%,-4.17%,59.88%,1.86%,8.97%,4.67,0.35%,0.48%,0.45%,1.26,0.77,0.63,0.7,14.80%,0.71%,0.57%,1.50%,8.75%,4.26%,-14.45%,-20.47%,2.92%,2.06,0.19,1.63%,2.36%,3.33%,3.53%,-5.58%,-2.32%,11.08%,-30.92%,11.08%,58.67,-0.11%,0.34%,2.5,20486.77,0.67,8.82,0.23%,13765868,7/9/12 16:30
3,AAPL,Apple Inc.,Technology,Personal Computers,USA,614999.09,15.42,12.5,0.73,4.13,5.5,22.24,14.76,,6.19%,42.54,82.63%,18.98%,64.95%,21.05%,41.16%,19.57%,22.58%,937.41,936.9,0.03%,21.62%,68.20%,-0.50%,1.22%,0.81,29.77%,44.32%,38.27%,1.57,1.54,0,0,44.11%,35.62%,26.97%,3.86%,9.12%,18.30%,28.43%,84.85%,62.69%,1.22,11.22,1.92%,1.59%,6.77%,9.53%,25.74%,-1.37%,16.49%,-1.37%,86.00%,71.63,-2.20%,0.86%,1.8,14176.3,2.04,656.06,-1.37%,28858994,7/24/12
4,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,9451.6,14.01,11.89,,0.12,3.22,5.71,11.51,1.38%,18.42%,2.68,14.78%,11.66%,19.43%,,5.70%,7.25%,-1.94%,251.64,250.28,0.15%,-13.19%,94.25%,-0.35%,1.71%,1.71,4.59%,22.92%,14.57%,1.02,0.52,0.51,0.64,3.22%,1.50%,0.87%,-1.57%,-2.49%,3.99%,2.79%,1.87%,2.07%,0.7,0.71,1.57%,1.84%,-2.26%,-2.20%,-0.16%,-6.61%,4.09%,-10.01%,9.64%,40.13,-0.32%,-0.08%,1.9,2499.95,0.92,37.56,-0.40%,2296606,7/26/12 8:30
5,ABT,Abbott Laboratories,Healthcare,Drug Manufacturers - Major,USA,102477.25,21.13,12.16,2.53,2.6,4.19,9.31,25.16,3.12%,63.50%,3.09,1.47%,6.34%,21.98%,8.34%,11.57%,-11.72%,1.98%,1569.33,1566.88,0.25%,9.18%,66.66%,-0.69%,1.10%,2.7,7.89%,19.22%,10.78%,1.53,1.33,0.49,0.74,61.65%,16.11%,12.39%,-1.31%,1.02%,6.16%,18.04%,36.81%,19.05%,0.3,0.71,0.94%,1.08%,-0.90%,1.27%,11.35%,-3.19%,7.53%,-3.19%,38.93%,48.97,-0.65%,0.00%,2.6,6399.91,0.64,65.3,-0.65%,4123197,7/18/12 8:30
6,ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,25136.74,12.56,9.54,1.48,1.49,0.98,8.78,11.24,2.64%,29.85%,5.9,-48.93%,-0.26%,-7.57%,8.47%,4.78%,-44.94%,-7.69%,339.09,338.04,0.31%,-4.94%,90.40%,-3.33%,0.76%,1.64,2.25%,8.10%,,,,0.13,0.2,,15.61%,11.96%,2.52%,6.78%,2.90%,3.20%,26.98%,7.84%,0.73,1.06,1.24%,1.36%,1.78%,2.77%,4.08%,-0.46%,8.20%,-3.60%,32.91%,60.36,0.01%,0.04%,2,1566.8,1.36,74.13,0.05%,2132562,7/24/12 16:30
7,ACN,Accenture plc,Technology,Information Technology Services,Ireland,42244.5,15.76,14.8,1.51,1.42,10.18,7.5,16.34,2.21%,35.43%,3.87,27.67%,7.30%,16.43%,10.43%,8.46%,11.21%,6.06%,692.76,645.93,0.28%,-17.81%,83.40%,-2.97%,1.32%,2.53,18.87%,66.17%,39.53%,1.51,,0,0,30.19%,12.99%,9.68%,-0.46%,5.59%,3.48%,5.32%,28.62%,15.80%,0.85,0.94,1.24%,1.47%,0.96%,3.24%,4.24%,-1.61%,10.19%,-7.10%,29.18%,56.84,-0.07%,0.38%,2.1,3365.93,0.5,60.98,0.31%,1696470,9/27/12 16:30
8,ADBE,Adobe Systems Inc.,Technology,Application Software,USA,16596.9,21.63,12.74,2,3.83,2.74,5.54,12.46,,0.00%,1.56,12.18%,9.50%,14.87%,10.82%,10.36%,-1.47%,9.90%,491.76,489.63,0.24%,-15.71%,91.30%,-0.58%,2.91%,3.67,8.79%,13.54%,10.10%,3.03,,0.25,0.25,89.38%,25.71%,17.94%,5.11%,10.15%,5.44%,4.39%,45.66%,19.38%,1.56,0.66,1.97%,1.96%,5.58%,6.66%,8.14%,-0.56%,14.33%,-2.96%,47.77%,64.97,0.12%,-0.62%,2.5,3880.11,0.89,33.75,-0.50%,3465777,9/19/12 16:30
9,ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,12035.04,17.54,15.4,1.63,4.3,3.07,3.21,24.29,2.97%,44.39%,2.3,20.11%,21.30%,14.82%,10.73%,5.87%,-31.82%,-14.63%,298.34,293.31,0.57%,1.19%,86.70%,1.89%,2.53%,3.21,13.35%,18.80%,14.97%,8.1,7.55,0.22,0.22,65.07%,32.55%,25.23%,0.15%,9.06%,13.60%,2.93%,33.40%,14.57%,1.09,0.66,1.28%,1.61%,1.72%,5.99%,8.23%,-1.39%,13.28%,-1.39%,34.87%,60.45,-0.52%,0.02%,2.1,2312.03,1.39,40.34,-0.49%,3212953,8/21/12 16:30
10,ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,17332.51,14.38,11.34,1.44,0.19,0.96,,17.56,2.66%,,1.83,-41.39%,15.90%,-11.04%,10.00%,15.13%,-26.48%,-0.85%,658.53,644.16,0.17%,1.82%,74.08%,1.12%,1.45%,1.78,,,,,,,,4.12%,1.98%,1.39%,1.94%,-1.39%,-17.60%,-15.56%,-1.16%,-6.33%,0.44,0.5,1.78%,1.82%,0.72%,-4.96%,-10.72%,-17.59%,5.91%,-21.61%,13.78%,46.74,-0.94%,0.23%,2.9,5244.46,0.75,26.32,-0.72%,3921259,7/31/12 8:30
