"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
1,"A","Agilent Technologies Inc.","Technology","Scientific & Technical Instruments","USA",13209.36,13.12,11.12,1.10,1.94,2.71,6.87,12.75,1.06%,6.88%,2.89,47.12%,11.44%,-2.64%,11.88%,5.87%,-25.53%,1.89%,348.44,347.65,0.14%,-2.01%,83.07%,0.26%,1.02%,1.05,10.99%,22.45%,13.65%,2.01,1.52,0.35,0.45,52.84%,16.72%,14.91%,-0.63%,-4.10%,-0.91%,-9.95%,15.51%,9.35%,1.50,0.80,1.84%,1.90%,-1.68%,-1.42%,-6.16%,-7.52%,3.66%,-17.74%,18.45%,47.20,-0.54%,0.21%,1.50,3397.63,0.73,37.78,-0.33%,993841,8/15/2012 4:30:00 PM
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",9540.32,,13.34,,0.40,0.70,6.66,42.21,1.34%,,-0.23,112.94%,168.00%,-26.24%,11.41%,-2.93%,-187.16%,-9.13%,1067.15,1066.41,0.01%,10.34%,59.37%,-0.08%,7.39%,4.29,-0.65%,-1.72%,-0.85%,1.19,0.74,0.62,0.70,12.80%,-1.32%,-1.09%,-2.08%,-6.68%,7.71%,-9.51%,-5.50%,4.32%,2.05,0.25,2.56%,2.56%,1.37%,1.97%,-1.62%,-8.46%,8.34%,-21.02%,14.48%,53.71,0.78%,0.89%,2.70,18370.23,0.84,9.09,1.68%,6198571,10/9/2012 4:30:00 PM
3,"AAPL","Apple Inc.","Technology","Personal Computers","USA",609119.62,15.27,12.16,0.70,4.09,5.45,22.03,14.62,,6.19%,42.54,82.63%,20.28%,64.95%,21.81%,41.16%,19.57%,22.58%,937.41,936.86,0.02%,-24.24%,67.83%,-0.04%,1.61%,0.95,29.77%,44.32%,38.27%,1.57,1.54,0.00,0.00,44.11%,35.62%,26.97%,2.19%,-7.14%,7.64%,7.27%,55.38%,61.13%,1.20,13.75,2.15%,1.95%,-2.05%,-1.83%,12.25%,-7.98%,5.59%,-7.98%,79.33%,45.60,-0.08%,-0.08%,1.80,15919.68,1.10,648.78,-0.16%,7039114,10/25/2012
4,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",10254.33,15.21,12.98,,0.13,3.49,6.19,12.49,1.28%,18.42%,2.68,14.78%,11.35%,19.43%,,5.70%,7.25%,-1.94%,251.64,250.28,0.06%,-11.70%,92.77%,0.03%,1.53%,1.30,4.59%,22.92%,14.57%,1.02,0.52,0.51,0.64,3.22%,1.50%,0.87%,2.70%,7.18%,2.88%,9.57%,9.04%,10.73%,0.72,0.60,1.35%,1.43%,3.28%,5.11%,6.70%,-0.83%,10.29%,-2.94%,15.12%,67.85,-0.78%,0.20%,2.00,2934.93,0.70,40.51,-0.59%,817551,11/1/2012 8:30:00 AM
5,"ABT","Abbott Laboratories","Healthcare","Drug Manufacturers - Major","USA",113195.77,23.34,13.41,2.73,2.87,4.62,10.29,27.79,2.83%,63.50%,3.09,1.47%,6.32%,21.98%,8.54%,11.57%,-11.72%,1.98%,1569.33,1566.88,0.10%,1.95%,66.82%,0.23%,0.77%,2.24,7.89%,19.22%,10.78%,1.53,1.33,0.49,0.74,61.65%,16.11%,12.39%,2.47%,5.12%,10.21%,21.10%,43.14%,32.47%,0.30,1.04,1.93%,1.36%,-0.52%,2.72%,13.01%,-4.43%,8.03%,-4.43%,38.79%,50.60,-3.53%,-0.47%,2.70,5408.91,5.95,69.26,-3.98%,12893500,10/17/2012 8:30:00 AM
6,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",26686.38,13.34,10.10,1.57,1.58,1.04,9.32,11.93,2.49%,29.85%,5.90,-48.93%,-1.02%,-7.57%,8.47%,4.78%,-44.94%,-7.69%,339.09,338.04,0.35%,-4.51%,91.00%,-1.17%,0.56%,1.27,2.25%,8.10%,,,,0.13,0.20,,15.61%,11.96%,1.63%,3.70%,10.46%,10.24%,31.04%,15.24%,0.73,0.91,1.05%,1.13%,2.54%,5.00%,8.67%,-0.25%,9.92%,-0.25%,31.31%,68.01,-0.18%,0.23%,2.00,1499.92,0.30,78.74,0.04%,178828,10/23/2012 4:30:00 PM
7,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",49012.77,18.77,15.22,1.78,1.65,10.85,7.38,16.70,2.29%,33.94%,3.77,13.20%,9.15%,14.34%,10.52%,6.78%,-11.42%,1.59%,692.76,634.98,0.28%,-6.15%,81.30%,-6.15%,0.95%,2.13,17.44%,63.64%,36.61%,1.55,,0.00,0.00,30.18%,13.00%,9.49%,1.67%,9.10%,21.44%,12.61%,25.29%,35.90%,0.88,1.08,1.16%,1.58%,3.69%,9.77%,17.64%,-0.79%,17.95%,-0.79%,40.96%,71.16,0.18%,-0.66%,2.10,2846.13,0.76,70.41,-0.48%,862881,9/27/2012 4:30:00 PM
8,"ADBE","Adobe Systems Inc.","Technology","Application Software","USA",16455.46,21.17,14.03,1.85,3.74,2.55,5.07,13.08,,0.00%,1.57,12.18%,2.16%,14.87%,11.44%,10.36%,3.00%,6.65%,495.05,489.68,0.23%,-0.87%,90.00%,-0.16%,2.87%,3.53,8.65%,13.07%,9.85%,3.43,,0.23,0.23,89.21%,25.41%,17.81%,4.89%,-0.51%,5.76%,-0.45%,26.68%,17.58%,1.55,0.62,1.68%,1.98%,2.14%,2.17%,3.71%,-3.44%,7.61%,-4.08%,30.82%,56.69,0.88%,-0.51%,2.50,3984.74,1.21,33.36,0.36%,1925235,9/19/2012 4:30:00 PM
9,"ADI","Analog Devices Inc.","Technology","Semiconductor - Integrated Circuits","USA",11792.00,18.43,15.72,1.60,4.33,2.93,3.13,32.80,3.04%,50.05%,2.14,20.11%,18.40%,14.82%,11.55%,5.87%,-21.95%,-9.88%,298.91,293.31,0.51%,-3.18%,86.28%,-0.02%,2.14%,2.96,12.24%,16.93%,13.60%,8.97,8.36,0.21,0.21,64.59%,31.01%,24.08%,2.02%,-4.15%,5.76%,4.39%,17.06%,12.91%,1.11,0.65,1.45%,1.58%,0.42%,-0.68%,3.70%,-5.53%,4.39%,-5.53%,26.57%,50.75,1.36%,-1.27%,2.20,2122.67,1.42,39.48,0.08%,1210621,11/27/2012
10,"ADM","Archer Daniels Midland Company","Consumer Goods","Farm Products","USA",18922.44,15.70,13.00,1.57,0.21,1.05,12.90,19.65,2.44%,37.20%,1.83,-41.39%,16.40%,-11.04%,10.00%,15.13%,-26.48%,-0.85%,658.63,643.69,0.33%,23.95%,73.54%,0.14%,1.30%,1.78,2.97%,6.65%,4.46%,1.84,1.01,0.36,0.57,4.12%,1.98%,1.39%,1.52%,5.62%,4.82%,-5.99%,8.87%,2.24%,0.44,0.37,1.10%,1.31%,4.21%,7.04%,-1.03%,0.66%,13.91%,-13.68%,16.62%,75.32,0.56%,0.31%,2.90,4691.16,0.74,28.98,0.87%,1385897,10/30/2012 8:30:00 AM
